Characteristics of Influenza-Associated Pediatric Deaths (data downloaded on 10/25/2024),,,,
SEASON,CHARACTERISTIC,GROUP,COUNT,PERCENT
2021-22,OnsetToDeath,0,2,5
2021-22,OnsetToDeath,1,4,10
2021-22,OnsetToDeath,2,7,17.5
2021-22,OnsetToDeath,3,3,7.5
2021-22,OnsetToDeath,4,6,15
2021-22,OnsetToDeath,5,3,7.5
2021-22,OnsetToDeath,6,3,7.5
2021-22,OnsetToDeath,7,2,5
2021-22,OnsetToDeath,9,1,2.5
2021-22,OnsetToDeath,14,1,2.5
2021-22,OnsetToDeath,15,1,2.5
2021-22,OnsetToDeath,16,1,2.5
2021-22,OnsetToDeath,18,1,2.5
2021-22,OnsetToDeath,20,1,2.5
2021-22,OnsetToDeath,24,1,2.5
2021-22,OnsetToDeath,30+,3,7.5
2022-23,OnsetToDeath,0,14,9.4
2022-23,OnsetToDeath,1,15,10.1
2022-23,OnsetToDeath,2,16,10.7
2022-23,OnsetToDeath,3,16,10.7
2022-23,OnsetToDeath,4,14,9.4
2022-23,OnsetToDeath,5,10,6.7
2022-23,OnsetToDeath,6,6,4
2022-23,OnsetToDeath,7,12,8.1
2022-23,OnsetToDeath,8,5,3.4
2022-23,OnsetToDeath,9,4,2.7
2022-23,OnsetToDeath,11,1,0.7
2022-23,OnsetToDeath,12,3,2
2022-23,OnsetToDeath,13,1,0.7
2022-23,OnsetToDeath,14,2,1.3
2022-23,OnsetToDeath,15,1,0.7
2022-23,OnsetToDeath,16,1,0.7
2022-23,OnsetToDeath,17,3,2
2022-23,OnsetToDeath,18,3,2
2022-23,OnsetToDeath,19,1,0.7
2022-23,OnsetToDeath,21,3,2
2022-23,OnsetToDeath,22,3,2
2022-23,OnsetToDeath,23,1,0.7
2022-23,OnsetToDeath,26,1,0.7
2022-23,OnsetToDeath,27,3,2
2022-23,OnsetToDeath,30+,10,6.7
2023-24,OnsetToDeath,0,9,5.4
2023-24,OnsetToDeath,1,9,5.4
2023-24,OnsetToDeath,2,11,6.6
2023-24,OnsetToDeath,3,14,8.4
2023-24,OnsetToDeath,4,12,7.2
2023-24,OnsetToDeath,5,17,10.2
2023-24,OnsetToDeath,6,14,8.4
2023-24,OnsetToDeath,7,12,7.2
2023-24,OnsetToDeath,8,7,4.2
2023-24,OnsetToDeath,9,6,3.6
2023-24,OnsetToDeath,10,2,1.2
2023-24,OnsetToDeath,11,2,1.2
2023-24,OnsetToDeath,12,4,2.4
2023-24,OnsetToDeath,13,1,0.6
2023-24,OnsetToDeath,14,4,2.4
2023-24,OnsetToDeath,15,4,2.4
2023-24,OnsetToDeath,16,2,1.2
2023-24,OnsetToDeath,17,1,0.6
2023-24,OnsetToDeath,18,3,1.8
2023-24,OnsetToDeath,19,3,1.8
2023-24,OnsetToDeath,22,1,0.6
2023-24,OnsetToDeath,24,1,0.6
2023-24,OnsetToDeath,25,2,1.2
2023-24,OnsetToDeath,27,2,1.2
2023-24,OnsetToDeath,29,2,1.2
2023-24,OnsetToDeath,30+,21,12.7
2021-22,2022-02,2,2,0
2021-22,2022-03,2,2,0
